Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-25 15:00",386.23,386.97,385.01,385.95,-0.24,-0.06%,7223511
"2026-03-25 14:00",388.21,388.9184,385.4701,386.19,-2.09,-0.54%,4571742
"2026-03-25 13:00",389.3699,389.75,387.33,388.28,-1.09,-0.28%,4844204
"2026-03-25 12:00",388.86,390.16,387.6,389.37,0.5,+0.13%,5319312
"2026-03-25 11:00",393.18,393.5999,388.275,388.87,-4.33,-1.10%,7784270
"2026-03-25 10:00",392.05,394.83,390.5,393.2,1.1837,+0.30%,7482415
"2026-03-25 09:00",389.99,396.23,389.28,392.0163,8.9262,+2.33%,8148504
"2026-03-24 15:00",384.4608,385.535,382.3,383.0901,-1.4067,-0.37%,8161155
"2026-03-24 14:00",381.45,386.45,381.11,384.4968,3.0718,+0.81%,5915490
"2026-03-24 13:00",382.93,383.22,379.68,381.425,-1.495,-0.39%,5236100
"2026-03-24 12:00",382.48,384.37,381.68,382.92,0.4,+0.10%,4425566
"2026-03-24 11:00",385.71,387.23,382.38,382.52,-3.18,-0.82%,6407496
"2026-03-24 10:00",383.07,387.48,382.72,385.7,2.63,+0.69%,10361627
"2026-03-24 09:00",376.56,386.24,376.31,383.07,2.294,+0.60%,8330424
"2026-03-23 15:00",381.9,381.95,380.22,380.776,-1.109,-0.29%,9799173
"2026-03-23 14:00",380.27,382.25,379.3,381.885,1.625,+0.43%,5103845
"2026-03-23 13:00",378.33,380.9196,376.47,380.26,1.945,+0.51%,5529391
"2026-03-23 12:00",378.2,380.47,377.307,378.315,0.125,+0.03%,6459034
"2026-03-23 11:00",383.41,385.33,378.0301,378.19,-5.23,-1.36%,9174547
"2026-03-23 10:00",381.91,384.65,380.67,383.42,1.545,+0.40%,10506281
"2026-03-23 09:00",373.09,382.39,372.73,381.875,13.915,+3.78%,10245505
"2026-03-20 15:00",368.28,368.71,364.4601,367.96,-0.3199,-0.09%,15761334
"2026-03-20 14:00",371.87,371.95,367.735,368.2799,-3.5351,-0.95%,6839580
"2026-03-20 13:00",374.61,375.12,371.15,371.815,-2.825,-0.75%,4858406
"2026-03-20 12:00",375.77,376.96,373.62,374.64,-1.14,-0.30%,6177932
"2026-03-20 11:00",372.865,377,372.59,375.78,2.93,+0.79%,6144370
"2026-03-20 10:00",371.19,373.78,369.9,372.85,1.68,+0.45%,9825524
"2026-03-20 09:00",379.85,379.89,370.74,371.17,-9.074,-2.39%,10830989
"2026-03-19 15:00",381.2,384.95,380.05,380.244,-0.9559,-0.25%,11570823
"2026-03-19 14:00",381.46,382.9,378.73,381.1999,-0.2601,-0.07%,6344699
"2026-03-19 13:00",382.3,382.45,380.2,381.46,-0.8,-0.21%,4219075
"2026-03-19 12:00",382.18,383.65,380.85,382.26,0.0607,+0.02%,5166952
"2026-03-19 11:00",381.33,384.22,380.82,382.1993,0.8542,+0.22%,6632424
"2026-03-19 10:00",383.08,384.15,379.79,381.3451,-1.7449,-0.46%,10255033
"2026-03-19 09:00",387.27,387.27,379.7232,383.09,-9.69,-2.47%,9058012
