Time,Open,High,Low,Latest,Change,%Change,Volume
"2026-03-25 15:00",656.49,657.3201,655.58,656.82,0.32,+0.05%,13726643
"2026-03-25 14:00",657.89,658.52,655.64,656.5,-1.4,-0.21%,7070906
"2026-03-25 13:00",657.75,659.38,656.915,657.9,0.15,+0.02%,8549815
"2026-03-25 12:00",657,658.315,656.01,657.75,0.75,+0.11%,7429181
"2026-03-25 11:00",658.69,659.0078,654.24,657,-1.69,-0.26%,13322003
"2026-03-25 10:00",656.56,660.5,655.67,658.69,2.2,+0.34%,12352017
"2026-03-25 09:00",658.67,660.89,656.42,656.49,3.23,+0.49%,9736377
"2026-03-24 15:00",654.83,655.69,652.56,653.26,-1.6,-0.24%,12969644
"2026-03-24 14:00",654.3,656.59,653.2,654.86,0.56,+0.09%,9162780
"2026-03-24 13:00",655.13,655.39,652.38,654.3,-0.85,-0.13%,9289258
"2026-03-24 12:00",655.05,656.25,654.04,655.15,0.11,+0.02%,6329022
"2026-03-24 11:00",653.98,657.03,653.92,655.04,1.1,+0.17%,8453392
"2026-03-24 10:00",651.48,655.94,651.22,653.94,2.46,+0.38%,14644623
"2026-03-24 09:00",651.32,653.04,649.88,651.48,-4.285,-0.65%,7408589
"2026-03-23 15:00",658.95,659.02,655.27,655.765,-3.185,-0.48%,16570484
"2026-03-23 14:00",658.09,659.65,656.53,658.95,0.89,+0.14%,10266421
"2026-03-23 13:00",655.6,658.25,654.31,658.06,2.48,+0.38%,7948003
"2026-03-23 12:00",655.99,657.63,653.94,655.58,-0.43,-0.07%,11844758
"2026-03-23 11:00",661.07,662.615,655.83,656.01,-5.04,-0.76%,15872402
"2026-03-23 10:00",660.2,662.27,658.58,661.05,0.83,+0.13%,13395790
"2026-03-23 09:00",658.07,660.25,656.07,660.22,11.68,+1.80%,13592590
"2026-03-20 15:00",648.08,648.645,644.72,648.54,0.47,+0.07%,34644982
"2026-03-20 14:00",651.41,651.695,647.64,648.07,-3.33,-0.51%,15987944
"2026-03-20 13:00",652.76,653.25,650.55,651.4,-1.37,-0.21%,7935262
"2026-03-20 12:00",652.97,653.99,651.95,652.77,-0.175,-0.03%,6978677
"2026-03-20 11:00",652.11,654.16,651.5,652.945,0.825,+0.13%,8364237
"2026-03-20 10:00",653.17,653.8111,651.2,652.12,-1.03,-0.16%,12429269
"2026-03-20 09:00",656.51,656.69,653,653.15,-6.67,-1.01%,9646347
"2026-03-19 15:00",658.44,662.98,658.39,659.82,1.37,+0.21%,26314634
"2026-03-19 14:00",657.23,658.81,656.32,658.45,1.21,+0.18%,8664391
"2026-03-19 13:00",657.16,657.88,655.61,657.24,0.072,+0.01%,6269670
"2026-03-19 12:00",657.91,659.04,656.61,657.168,-0.757,-0.12%,7941247
"2026-03-19 11:00",657.79,659.71,656.18,657.925,0.1265,+0.02%,10635719
"2026-03-19 10:00",658.64,659.47,656.04,657.7985,-0.8615,-0.13%,10191987
"2026-03-19 09:00",656.97,658.96,655.17,658.66,-2.95,-0.45%,11514205
