dataset,min_rr,fvg_lookback,pm_big_day_range_atr,min_stop_atr,bias_min_score,min_confs,require_fvg_tap,accum_minutes,target_mode,hours,trades,total_R,avg_R,win_rate,is_trades,is_total_R,is_avg_R,is_win_rate,oos_trades,oos_total_R,oos_avg_R,oos_win_rate,split_date
QQQ_5m,2.0,24,0.75,0.25,2.0,3,False,60,pdh_pdl,10,5,1.04,0.208,60.0,3,0.45,0.15,66.7,2,0.59,0.296,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,2.0,3,False,60,pdh_pdl,"10,14",5,1.04,0.208,60.0,3,0.45,0.15,66.7,2,0.59,0.296,50.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,2.0,3,False,60,rr,10,27,5.1,0.189,59.3,14,2.6,0.186,57.1,13,2.5,0.192,61.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,2.0,3,False,60,rr,"10,14",35,3.64,0.104,54.3,22,1.15,0.052,50.0,13,2.5,0.192,61.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,15,pdh_pdl,10,17,-5.27,-0.31,29.4,13,-1.49,-0.115,38.5,4,-3.78,-0.945,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,15,pdh_pdl,"10,14",24,-0.1,-0.004,41.7,18,0.47,0.026,44.4,6,-0.57,-0.096,33.3,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,15,rr,10,71,-12.24,-0.172,33.8,44,-5.58,-0.127,34.1,27,-6.67,-0.247,33.3,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,15,rr,"10,14",92,-7.73,-0.084,37.0,58,-5.37,-0.093,34.5,34,-2.36,-0.069,41.2,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,30,pdh_pdl,10,17,-13.34,-0.785,11.8,12,-8.52,-0.71,16.7,5,-4.82,-0.965,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,30,pdh_pdl,"10,14",24,-8.18,-0.341,29.2,17,-6.56,-0.386,29.4,7,-1.62,-0.231,28.6,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,30,rr,10,59,-22.56,-0.382,28.8,33,-14.96,-0.453,27.3,26,-7.6,-0.292,30.8,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,30,rr,"10,14",76,-17.43,-0.229,31.6,47,-13.72,-0.292,29.8,29,-3.71,-0.128,34.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,60,pdh_pdl,10,16,-7.87,-0.492,25.0,13,-4.77,-0.367,30.8,3,-3.1,-1.033,0.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,60,pdh_pdl,"10,14",18,-6.52,-0.362,33.3,14,-4.39,-0.314,35.7,4,-2.13,-0.532,25.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,60,rr,10,50,-12.62,-0.252,36.0,30,-11.64,-0.388,33.3,20,-0.99,-0.049,40.0,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,True,60,rr,"10,14",60,-13.45,-0.224,35.0,38,-13.4,-0.353,31.6,22,-0.05,-0.002,40.9,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,15,pdh_pdl,10,28,-0.03,-0.001,39.3,19,-4.21,-0.221,36.8,9,4.18,0.464,44.4,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,15,pdh_pdl,"10,14",39,5.37,0.138,43.6,28,-0.02,-0.001,42.9,11,5.39,0.49,45.5,2025-07-27
QQQ_5m,2.0,24,0.75,0.25,3.0,1,False,15,rr,10,88,-10.17,-0.116,36.4,51,-11.05,-0.217,31.4,37,0.87,0.024,43.2,2025-07-27
