symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
QQQ,15m,32,0.01,3.5,on,us_market_hours,150,52.0,0.019,2.85
QQQ,15m,32,0.015,2.0,off,all_hours,271,53.9,0.077,20.87
QQQ,15m,32,0.015,2.0,off,us_market_hours,169,56.2,0.127,21.46
QQQ,15m,32,0.015,2.0,on,all_hours,164,57.9,0.159,26.08
QQQ,15m,32,0.015,2.0,on,us_market_hours,99,61.6,0.225,22.28
QQQ,15m,32,0.015,2.5,off,all_hours,253,55.3,0.107,27.07
QQQ,15m,32,0.015,2.5,off,us_market_hours,161,58.4,0.169,27.21
QQQ,15m,32,0.015,2.5,on,all_hours,157,59.9,0.197,30.93
QQQ,15m,32,0.015,2.5,on,us_market_hours,96,62.5,0.257,24.67
QQQ,15m,32,0.015,3.0,off,all_hours,221,57.0,0.14,30.94
QQQ,15m,32,0.015,3.0,off,us_market_hours,157,58.6,0.151,23.71
QQQ,15m,32,0.015,3.0,on,all_hours,141,61.0,0.22,31.02
QQQ,15m,32,0.015,3.0,on,us_market_hours,94,63.8,0.242,22.75
QQQ,15m,32,0.015,3.5,off,all_hours,211,54.5,0.09,18.99
QQQ,15m,32,0.015,3.5,off,us_market_hours,153,54.9,0.081,12.39
QQQ,15m,32,0.015,3.5,on,all_hours,136,55.9,0.118,16.05
QQQ,15m,32,0.015,3.5,on,us_market_hours,92,57.6,0.133,12.24
QQQ,15m,32,0.02,2.0,off,all_hours,140,57.9,0.157,21.98
QQQ,15m,32,0.02,2.0,off,us_market_hours,99,55.6,0.051,5.05
QQQ,15m,32,0.02,2.0,on,all_hours,90,60.0,0.2,18.0
QQQ,15m,32,0.02,2.0,on,us_market_hours,64,53.1,0.05,3.2
QQQ,15m,32,0.02,2.5,off,all_hours,124,54.8,0.097,12.03
QQQ,15m,32,0.02,2.5,off,us_market_hours,92,53.3,0.026,2.39
QQQ,15m,32,0.02,2.5,on,all_hours,81,56.8,0.136,11.02
QQQ,15m,32,0.02,2.5,on,us_market_hours,58,51.7,0.048,2.78
QQQ,15m,32,0.02,3.0,off,all_hours,115,55.7,0.113,13.0
QQQ,15m,32,0.02,3.0,off,us_market_hours,90,54.4,0.06,5.4
QQQ,15m,32,0.02,3.0,on,all_hours,76,59.2,0.184,13.98
QQQ,15m,32,0.02,3.0,on,us_market_hours,57,52.6,0.085,4.85
QQQ,15m,32,0.02,3.5,off,all_hours,112,55.4,0.107,11.98
QQQ,15m,32,0.02,3.5,off,us_market_hours,89,53.9,0.048,4.27
QQQ,15m,32,0.02,3.5,on,all_hours,73,58.9,0.178,12.99
QQQ,15m,32,0.02,3.5,on,us_market_hours,56,51.8,0.076,4.26
QQQ,15m,32,0.025,2.0,off,all_hours,83,51.8,0.036,2.99
QQQ,15m,32,0.025,2.0,off,us_market_hours,54,59.3,0.062,3.35
QQQ,15m,32,0.025,2.0,on,all_hours,56,48.2,-0.036,-2.02
QQQ,15m,32,0.025,2.0,on,us_market_hours,35,54.3,0.025,0.88
QQQ,15m,32,0.025,2.5,off,all_hours,74,52.7,0.054,4.0
QQQ,15m,32,0.025,2.5,off,us_market_hours,51,62.7,0.088,4.49
QQQ,15m,32,0.025,2.5,on,all_hours,51,52.9,0.059,3.01
QQQ,15m,32,0.025,2.5,on,us_market_hours,33,57.6,0.04,1.32
QQQ,15m,32,0.025,3.0,off,all_hours,69,56.5,0.13,8.97
QQQ,15m,32,0.025,3.0,off,us_market_hours,51,60.8,0.05,2.55
QQQ,15m,32,0.025,3.0,on,all_hours,50,60.0,0.2,10.0
QQQ,15m,32,0.025,3.0,on,us_market_hours,33,57.6,0.047,1.55
QQQ,15m,32,0.025,3.5,off,all_hours,65,56.9,0.138,8.97
QQQ,15m,32,0.025,3.5,off,us_market_hours,49,61.2,0.0,0.0
QQQ,15m,32,0.025,3.5,on,all_hours,46,63.0,0.261,12.01
QQQ,15m,32,0.025,3.5,on,us_market_hours,31,58.1,-0.039,-1.21
QQQ,15m,32,0.03,2.0,off,all_hours,52,55.8,0.115,5.98
QQQ,15m,32,0.03,2.0,off,us_market_hours,29,62.1,0.132,3.83
QQQ,15m,32,0.03,2.0,on,all_hours,34,52.9,0.059,2.01
QQQ,15m,32,0.03,2.0,on,us_market_hours,17,52.9,0.061,1.04
QQQ,15m,32,0.03,2.5,off,all_hours,47,46.8,-0.064,-3.01
QQQ,15m,32,0.03,2.5,off,us_market_hours,29,58.6,0.038,1.1
QQQ,15m,32,0.03,2.5,on,all_hours,33,48.5,-0.03,-0.99
QQQ,15m,32,0.03,2.5,on,us_market_hours,17,52.9,0.085,1.44
QQQ,15m,32,0.03,3.0,off,all_hours,41,51.2,0.024,0.98
QQQ,15m,32,0.03,3.0,off,us_market_hours,28,60.7,0.062,1.74
QQQ,15m,32,0.03,3.0,on,all_hours,31,54.8,0.097,3.01
QQQ,15m,32,0.03,3.0,on,us_market_hours,17,52.9,0.072,1.22
QQQ,15m,32,0.03,3.5,off,all_hours,38,50.0,0.0,0.0
QQQ,15m,32,0.03,3.5,off,us_market_hours,28,64.3,0.14,3.92
QQQ,15m,32,0.03,3.5,on,all_hours,28,53.6,0.071,1.99
QQQ,15m,32,0.03,3.5,on,us_market_hours,17,52.9,0.114,1.94
QQQ,15m,48,0.01,2.0,off,all_hours,483,50.9,0.019,9.18
QQQ,15m,48,0.01,2.0,off,us_market_hours,336,54.5,0.074,24.86
QQQ,15m,48,0.01,2.0,on,all_hours,291,51.5,0.031,9.02
QQQ,15m,48,0.01,2.0,on,us_market_hours,188,59.6,0.141,26.51
QQQ,15m,48,0.01,2.5,off,all_hours,442,52.3,0.045,19.89
QQQ,15m,48,0.01,2.5,off,us_market_hours,321,53.9,0.078,25.04
QQQ,15m,48,0.01,2.5,on,all_hours,271,51.3,0.026,7.05
QQQ,15m,48,0.01,2.5,on,us_market_hours,181,58.0,0.127,22.99
QQQ,15m,48,0.01,3.0,off,all_hours,384,51.0,0.021,8.06
QQQ,15m,48,0.01,3.0,off,us_market_hours,309,55.0,0.076,23.48
QQQ,15m,48,0.01,3.0,on,all_hours,250,50.8,0.016,4.0
QQQ,15m,48,0.01,3.0,on,us_market_hours,177,59.9,0.133,23.54
QQQ,15m,48,0.01,3.5,off,all_hours,348,51.7,0.034,11.83
QQQ,15m,48,0.01,3.5,off,us_market_hours,301,54.2,0.046,13.85
QQQ,15m,48,0.01,3.5,on,all_hours,232,50.9,0.017,3.94
QQQ,15m,48,0.01,3.5,on,us_market_hours,172,58.7,0.093,16.0
QQQ,15m,48,0.015,2.0,off,all_hours,308,49.7,-0.006,-1.85
QQQ,15m,48,0.015,2.0,off,us_market_hours,216,48.1,-0.049,-10.58
QQQ,15m,48,0.015,2.0,on,all_hours,207,52.2,0.043,8.9
QQQ,15m,48,0.015,2.0,on,us_market_hours,138,50.7,-0.025,-3.45
QQQ,15m,48,0.015,2.5,off,all_hours,283,49.5,-0.011,-3.11
