symbol,timeframe,lookback,threshold,atr_mult,trend_filter,session_window,trades,win_rate,expectancy,total_R
ES,1h,48,0.02,2.0,on,us_market_hours,35,60.0,-0.146,-5.11
ES,1h,48,0.02,2.5,off,all_hours,105,55.2,0.105,11.03
ES,1h,48,0.02,2.5,off,us_market_hours,64,59.4,-0.005,-0.32
ES,1h,48,0.02,2.5,on,all_hours,66,53.0,0.061,4.03
ES,1h,48,0.02,2.5,on,us_market_hours,35,60.0,-0.124,-4.34
ES,1h,48,0.02,3.0,off,all_hours,90,55.6,0.111,9.99
ES,1h,48,0.02,3.0,off,us_market_hours,61,59.0,0.002,0.12
ES,1h,48,0.02,3.0,on,all_hours,63,52.4,0.048,3.02
ES,1h,48,0.02,3.0,on,us_market_hours,35,60.0,-0.101,-3.54
ES,1h,48,0.02,3.5,off,all_hours,85,54.1,0.082,6.97
ES,1h,48,0.02,3.5,off,us_market_hours,61,59.0,0.01,0.61
ES,1h,48,0.02,3.5,on,all_hours,60,55.0,0.1,6.0
ES,1h,48,0.02,3.5,on,us_market_hours,35,60.0,-0.077,-2.7
ES,1h,48,0.025,2.0,off,all_hours,74,55.4,0.108,7.99
ES,1h,48,0.025,2.0,off,us_market_hours,37,56.8,0.147,5.44
ES,1h,48,0.025,2.0,on,all_hours,40,52.5,0.05,2.0
ES,1h,48,0.025,2.0,on,us_market_hours,17,58.8,0.03,0.51
ES,1h,48,0.025,2.5,off,all_hours,64,54.7,0.094,6.02
ES,1h,48,0.025,2.5,off,us_market_hours,37,59.5,0.113,4.18
ES,1h,48,0.025,2.5,on,all_hours,38,52.6,0.053,2.01
ES,1h,48,0.025,2.5,on,us_market_hours,17,64.7,0.058,0.99
ES,1h,48,0.025,3.0,off,all_hours,55,58.2,0.164,9.02
ES,1h,48,0.025,3.0,off,us_market_hours,37,59.5,0.09,3.33
ES,1h,48,0.025,3.0,on,all_hours,37,56.8,0.135,5.0
ES,1h,48,0.025,3.0,on,us_market_hours,17,64.7,0.039,0.66
ES,1h,48,0.025,3.5,off,all_hours,54,53.7,0.074,4.0
ES,1h,48,0.025,3.5,off,us_market_hours,36,58.3,0.101,3.64
ES,1h,48,0.025,3.5,on,all_hours,38,55.3,0.105,3.99
ES,1h,48,0.025,3.5,on,us_market_hours,16,62.5,0.085,1.36
ES,1h,48,0.03,2.0,off,all_hours,44,52.3,0.045,1.98
ES,1h,48,0.03,2.0,off,us_market_hours,28,50.0,-0.087,-2.44
ES,1h,48,0.03,2.0,on,all_hours,25,44.0,-0.12,-3.0
ES,1h,48,0.03,2.0,on,us_market_hours,16,50.0,-0.238,-3.81
ES,1h,48,0.03,2.5,off,all_hours,37,51.4,0.027,1.0
ES,1h,48,0.03,2.5,off,us_market_hours,27,51.9,-0.074,-2.0
